SoilMoist,Rainfall,LST,NDVI,SAVI,VCI,TCI,VHI,MTCI,Week,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,Zone,Zone_Code,County,Month,Season,Season_Code,Date
0.16779295859320795,0.4646604803592818,32.706101928523815,0.4209854627433178,0.27561104143405163,44.028732263025404,68.44764821908575,46.32878529492857,49.17087706307069,6.5,-28.4878617066237,0.030360577640842,0.15357687182746194,-0.14673651576288596,-0.08603827004196407,Semi-Arid,2,Lamu,3,mam,1,2001-03-25
0.16345061069051012,0.3917775738712761,32.92840892370473,0.4106809608108282,0.27031880760318366,43.94648978986183,68.92056687565406,45.8952596177447,50.11992952135154,7.5,-32.207536871462885,0.028620196467432486,1.0204596439010853,-0.1725534357476338,-0.10114120207238042,Semi-Arid,2,Lamu,4,mam,1,2001-04-01
0.15935031165810623,0.3220446124557959,33.3991754620403,0.4035323977244322,0.2664281465865816,43.20726709350376,69.52621663646757,44.48518420312343,52.292142353457386,8.5,-34.95024672080442,0.025983637193386856,2.2881575163481354,-0.1968168093793388,-0.11602968442998363,Semi-Arid,2,Lamu,4,mam,1,2001-04-08
0.15570801281492283,0.39810951607920314,33.95104082897661,0.3989956170364439,0.2635654907174439,41.84060443100724,70.21569418407246,42.472538543519285,55.06255085064674,9.5,-36.453595833024345,0.022702365325856736,3.7731876840809204,-0.21934386922292917,-0.13082622906730965,Semi-Arid,2,Lamu,4,mam,1,2001-04-15
0.152687500951855,0.8563781438153703,34.36738794591569,0.39748682296826604,0.2619430492547516,40.078126703524596,70.92453840189948,40.4411666854997,57.59985061732022,10.5,-36.614670056717124,0.018877144399396577,5.181333654788114,-0.23856819195471726,-0.14466222130931214,Semi-Arid,2,Lamu,4,mam,1,2001-04-22
0.1504953538217237,1.961795234230573,34.46937929793755,0.40022078993804416,0.2624267021954865,38.32509315398371,71.61254214689673,39.01852125902686,59.08847993824933,11.5,-35.38370229252633,0.014635851311173053,6.217272174083312,-0.2522051544029494,-0.15591486639699234,Semi-Arid,2,Lamu,4,mam,1,2001-04-29
0.14919856237610848,3.9087673088628043,34.187131284215404,0.40854261579586915,0.2661006171740209,36.990033619055154,72.31109155738497,38.608024268441035,59.0825160659295,12.5,-32.719567812332436,0.010048993717897988,6.72456314285347,-0.25822541628491397,-0.16290850643501212,Semi-Arid,2,Lamu,5,mam,1,2001-05-06
0.1487852976640075,6.60904036984072,33.60514092677377,0.4230648837201633,0.2736965120434133,36.33203276987662,73.10957508474286,39.156047995584366,57.83433539637275,13.5,-28.66978408125128,0.005263394177099511,6.751110030346555,-0.25577363909970385,-0.16460810680808738,Semi-Arid,2,Lamu,5,mam,1,2001-05-13
0.14948137602135525,9.585389958938677,32.882729500345995,0.44312008720871976,0.28523612653277647,36.41064684300945,74.02109536406023,40.227112114001535,56.118134133282496,14.5,-23.557211361622933,0.0008174836683680792,6.475990412183939,-0.24566068119264262,-0.16098860891824696,Semi-Arid,2,Lamu,5,mam,1,2001-05-20
0.15152254158582568,12.14689685559136,32.17611998341161,0.46678131967748376,0.29991460409133724,37.04467576779916,74.96969216672022,41.22813609391554,54.826941392451374,15.5,-18.044113225715503,-0.002668116240669811,6.110844456931204,-0.2301668380546786,-0.1530988966619593,Semi-Arid,2,Lamu,5,mam,1,2001-05-27
0.15500541837963935,13.916174353865982,31.56654271127195,0.4921595456985495,0.31665846157438715,37.958926403759484,75.85353866943541,41.77086450967537,54.49451342220573,16.5,-12.732873657407673,-0.004750794791259713,5.787417549247965,-0.21148476225912413,-0.14227580720249824,Semi-Arid,2,Lamu,6,jja,2,2001-06-03
0.1598544200391912,14.906790381807385,31.01788241059172,0.5179055744526587,0.3344787317439799,38.98018495468305,76.5376722106073,41.939332632596525,54.93160365212673,17.5,-7.909048447638085,-0.005288948804234914,5.4721427091388035,-0.19105133844415037,-0.1295921387386463,Semi-Arid,2,Lamu,6,jja,2,2001-06-10
0.1657288463369707,15.325054738231486,30.416793718442552,0.5432063883071924,0.352659890398795,40.1311810810767,76.90509753283739,42.20204296039518,55.41848236088726,18.5,-3.7090484723222894,-0.004525318192046493,4.999553735073275,-0.1694313094251526,-0.1155773114694763,Semi-Arid,2,Lamu,6,jja,2,2001-06-17
0.17192078021518006,15.475048707713876,29.66106263024165,0.5679661069194443,0.3709084958161936,41.56669820804873,76.82633149770642,43.087362161963114,55.16626852111683,19.5,-0.24099596528744152,-0.003065894299225889,4.202566476579476,-0.14630608567786008,-0.10020573440953211,Semi-Arid,2,Lamu,6,jja,2,2001-06-24
0.17785426893644227,15.597971315094306,28.752574532800438,0.5924368159207304,0.389154740022667,43.4968912249661,76.35390290791466,44.821191349636365,53.91725833136986,20.5,2.4605525213336445,-0.0013407451385260467,3.045499894774609,-0.1211067419993891,-0.08327220589494828,Semi-Arid,2,Lamu,7,jja,2,2001-07-01
0.18336111298021576,15.75003331944999,27.802818388044972,0.6163763748824372,0.4072666149054034,46.02034607045896,75.69171086581638,47.25946733707081,51.94760814465818,21.5,4.40522036646874,0.0006340613585640633,1.6517239300919873,-0.094010408363781,-0.06482187939764704,Semi-Arid,2,Lamu,7,jja,2,2001-07-08
0.18862730625271504,15.77763404218718,26.976834949300983,0.6387187474038732,0.4246055831124225,49.03361591838311,75.10833578200366,49.90530022901344,49.95375212241007,22.5,5.575028275524466,0.00315324046037687,0.24718040550270004,-0.06627005636965583,-0.045590661838168706,Semi-Arid,2,Lamu,7,jja,2,2001-07-15
