SoilMoist,Rainfall,LST,NDVI,SAVI,VCI,TCI,VHI,MTCI,Week,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,Zone,Zone_Code,County,Month,Season,Season_Code,Date
0.11905688616393656,2.12382713823978,31.59644183743842,0.3938772914313024,0.24863789612980994,49.81294892961696,72.0552749665844,52.25640477722606,43.61162286274126,6.5,-22.351258950573918,-0.03314848503572182,0.6592489009300623,-0.0657546946018534,-0.051968800976749906,Semi-Humid,1,Kitui,3,mam,1,2001-03-25
0.12023538831101303,2.1912368211351967,32.1947104274387,0.38850667060983146,0.24609286888173076,48.35821708836615,72.3024387715546,50.73594951902183,45.0433527006989,7.5,-24.456532464009673,-0.03315367416183269,1.610135311450106,-0.08390676910015558,-0.06405833384172925,Semi-Humid,1,Kitui,4,mam,1,2001-04-01
0.12198135620803897,2.5840546052166964,32.76592925237496,0.38398722008493463,0.24387845058357557,46.075853772944036,72.20398905248895,48.95626799336253,46.68572939243964,8.5,-25.839936561849004,-0.03415860759043171,2.553991362216297,-0.10338893219894273,-0.07722951347140633,Semi-Humid,1,Kitui,4,mam,1,2001-04-08
0.12531314859596895,3.9952854713332555,33.191884740972334,0.3792407724918889,0.2412536827038462,43.117977845149774,71.95804573719685,47.06415276512245,48.271705408932235,9.5,-25.743600613130855,-0.03478949359119383,3.3952635833562907,-0.12427815431716734,-0.09159944026974769,Semi-Humid,1,Kitui,4,mam,1,2001-04-15
0.13063097209739247,7.057563091179624,33.3736375682683,0.374039092230289,0.23815414951338645,39.77115036728426,71.79087481320398,45.21522584613598,49.5466005221622,10.5,-23.36308715115575,-0.03421198581825189,4.033646945766988,-0.14607537332589338,-0.10675013533536908,Semi-Humid,1,Kitui,4,mam,1,2001-04-22
0.13766894319698844,11.872833140043143,33.27539942632526,0.36941503353648497,0.2354756450036333,36.38039615251006,71.88260715181241,43.51347268996759,50.29796494484654,11.5,-18.35976150911304,-0.032210803949882495,4.396017261749404,-0.16721696196500746,-0.12142592968480721,Semi-Humid,1,Kitui,4,mam,1,2001-04-29
0.14560741865597812,17.74693370584109,32.91631785980939,0.3678640321449118,0.2350640985230572,33.33315103155611,72.210923257141,42.05513757054783,50.48710090043469,12.5,-11.21806439050121,-0.029083594618169967,4.445358273007413,-0.18480289143699125,-0.1334907139266984,Semi-Humid,1,Kitui,5,mam,1,2001-05-06
0.15340735762817007,23.182357287322144,32.400477497681074,0.3722443268621749,0.2390779599660068,31.064424082494327,72.6052771792313,40.89856089932704,50.373199607242185,13.5,-3.4017659105750426,-0.02539781821402357,4.22974714039468,-0.1955224928931295,-0.14044462229821675,Semi-Humid,1,Kitui,5,mam,1,2001-05-13
0.16014905051635925,27.15912060001693,31.817768148958706,0.38427134967875315,0.248802312063216,29.952389957511873,72.8784339341974,40.128371748831555,50.33530588479905,14.5,3.689918999375052,-0.02173191927505296,3.8036326114234558,-0.1970565657154022,-0.14055932622361758,Semi-Humid,1,Kitui,5,mam,1,2001-05-20
0.16513091850228173,29.47127131104901,31.24969347104691,0.4039710770016178,0.2640380956203966,30.130299892661412,72.8790580915947,39.778080908585274,50.712681357852205,15.5,9.25442311425329,-0.018569812913226656,3.2390328844519707,-0.18866609655366476,-0.13352872433828844,Semi-Humid,1,Kitui,5,mam,1,2001-05-27
0.1678822114647219,30.483209118676765,30.715001729116935,0.4295344541357878,0.28318701980611805,31.40272691581392,72.59503515297358,39.872386252476694,51.528481340645534,16.5,13.193756133525772,-0.016209600545011492,2.5802643591570584,-0.1714591279159544,-0.12048999899642925,Semi-Humid,1,Kitui,6,jja,2,2001-06-03
0.16810059503858307,30.705173230464748,30.180927924714936,0.457988640694734,0.3039681963955005,33.39544857312537,72.15060327375267,40.43017362152805,52.47449985173029,17.5,15.808884619163608,-0.014776437991609354,1.8416044915882115,-0.14789284284514018,-0.1034076249329607,Semi-Humid,1,Kitui,6,jja,2,2001-06-10
0.16556763386963289,30.58938088419667,29.63816024172583,0.4865086517714939,0.32438633887369667,35.79605218744633,71.78006015336355,41.42965001873802,53.18388956477042,18.5,17.450823252053777,-0.014336345073074118,1.0453700153108192,-0.12062790371661898,-0.08422599316985674,Semi-Humid,1,Kitui,6,jja,2,2001-06-17
0.16032305550040682,30.32946618773974,29.108757597641745,0.5134866382001638,0.3434453957733719,38.474800034617495,71.59135750863578,42.76660631083383,53.497704319863,19.5,18.236588514486677,-0.014838249072708696,0.26018073374452183,-0.09161957019654704,-0.06423854746523512,Semi-Humid,1,Kitui,6,jja,2,2001-06-24
0.15284577000012953,29.69603805257557,28.641115840401515,0.538552505733615,0.36097497528729755,41.3428196871646,71.52758875303067,44.284348915071625,53.44396003874723,20.5,17.873686350949665,-0.01601906618089276,-0.4492100347754648,-0.06228131540240143,-0.044321555178072604,Semi-Humid,1,Kitui,7,jja,2,2001-07-01
0.14400964150711684,28.112464994057763,28.31353099665591,0.561691860424445,0.3769726633003085,44.2595977511433,71.4583811745968,45.79711617578253,53.164991900950874,21.5,15.815291778657935,-0.017455040864929956,-0.993603032031816,-0.03407039507377539,-0.02539771924715417,Semi-Humid,1,Kitui,7,jja,2,2001-07-08
0.13485483583081928,25.00955698954628,28.208250080453684,0.5822576001400939,0.3909965831240636,46.997060602671574,71.25827509570843,47.11813534368323,52.85160146519214,22.5,11.609494699638908,-0.018696376670023336,-1.2730053042896394,-0.008814121769048153,-0.008646923167921712,Semi-Humid,1,Kitui,7,jja,2,2001-07-15
