SoilMoist,Rainfall,LST,NDVI,SAVI,VCI,TCI,VHI,LC_Code,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,LC,County,EZ,EZ_Code,Month,Season,Season_Code,Date
0.31719546876839416,5.329940074634048,29.029688936326142,0.4307730226803082,0.27557732158427245,49.27652421639868,41.067463218127195,50.87421192264441,2.0,-2.2373517142131383,0.0839072925095677,0.3853407295554859,-0.007285675425306157,-0.005196813372921029,grass,Kiambu,Humid,2,6,jja,2,2018-06-10
0.3162114354873639,6.182571664484175,29.588950785937588,0.43830617077797385,0.2821891522675622,50.16429034096941,43.246573235332136,50.683175136750044,2.0,-2.5518251397083787,0.08144667954371365,0.48941735415150084,0.0016541047088996924,0.0013890138552463474,grass,Kiambu,Humid,2,6,jja,2,2018-06-17
0.3146407316175785,7.364314190377716,29.986445606153982,0.4431499579094022,0.2866673744665004,50.567090944366534,45.314088578470404,50.45312284095413,2.0,-3.071204044224056,0.08004478067021324,0.6389404611600312,0.007439350642140671,0.005903431172447568,grass,Kiambu,Humid,2,6,jja,2,2018-06-24
0.3124088545639867,9.060756421845241,30.202614695802108,0.4439026798770027,0.2880804593823067,50.40384747593802,47.11568712050883,50.05794375325138,2.0,-3.429234047067846,0.07971925287439639,0.7319453400184974,0.007787335715233938,0.006843453703915039,grass,Kiambu,Humid,2,7,jja,2,2018-07-01
0.30891718614120905,11.355550609355108,30.231630201251846,0.4409115694969787,0.2867275648689541,49.75888792569168,48.49336744722533,49.495537524095624,2.0,-3.3281120812940928,0.07977356017674815,0.7007524448096305,0.002505692645774054,0.004069673422071815,grass,Kiambu,Humid,2,7,jja,2,2018-07-08
0.3037120254684456,14.21761229150359,30.08604434363943,0.4363260927320051,0.2840696900719095,48.842118190855366,49.38268028070641,48.88183703393077,2.0,-2.606872712353169,0.07944576875020255,0.5303762318733236,-0.006346974791903996,-0.0011198036588822638,grass,Kiambu,Humid,2,7,jja,2,2018-07-15
0.29688150863994905,17.240270856967367,29.825740998582276,0.4336107605078268,0.2823213574190738,47.926782235210226,49.84715891622643,48.339693616773154,2.0,-1.5449745777658628,0.07832427068733824,0.30025731323526134,-0.015004013194592825,-0.006372113903156808,grass,Kiambu,Humid,2,7,jja,2,2018-07-22
0.2889751103175579,19.671476252266235,29.531286057690167,0.4360216728770332,0.28348724102900635,47.22802076694407,50.04815766808786,47.93320313848932,2.0,-0.8353703704886334,0.0763280356936561,0.11788626095754247,-0.01961257814758199,-0.009281329472179902,grass,Kiambu,Humid,2,7,jja,2,2018-07-29
0.2807104971559255,21.098305400573413,29.264858330366124,0.4446572110123976,0.28820051731383506,46.829660727948955,50.14355859972536,47.60486804742293,2.0,-0.9121790310761279,0.07360640615071956,0.04177037838181915,-0.018554377686851295,-0.008827568831139785,grass,Kiambu,Humid,2,8,jja,2,2018-08-05
0.27267613200285196,21.502178809038472,29.035840053462334,0.4578390384125531,0.2953730772696971,46.63003657908819,50.220985265501135,47.26711219512212,2.0,-1.822010198578904,0.07039920878972199,0.05549509363169817,-0.013403554588231092,-0.0059983807952928665,grass,Kiambu,Humid,2,8,jja,2,2018-08-12
0.26544640800846664,21.099845268654846,28.83769453646252,0.47184054459425645,0.3027188948397363,46.38003366113107,50.23564163765781,46.86358114684504,2.0,-3.279729730833839,0.06719243614414462,0.11688489664960262,-0.008287644017149107,-0.003380640716051315,grass,Kiambu,Humid,2,8,jja,2,2018-08-19
0.25928425455686605,20.22051531683627,28.645078643515287,0.48338897222717375,0.3084042193488678,45.839712605472094,50.0854750547466,46.383903581854696,2.0,-4.779331748847084,0.06433466818184551,0.16524530553867253,-0.007095813906038496,-0.0033368211431185715,grass,Kiambu,Humid,2,8,jja,2,2018-08-26
0.2539241939794421,19.136562195427434,28.498464638014678,0.49164368251884333,0.31222428969020244,44.93180593804675,49.80058827897378,45.80283522806257,2.0,-5.882850434232633,0.06172877749353597,0.2078778120564889,-0.011014067838457986,-0.006485920828402339,grass,Kiambu,Humid,2,9,ond,3,2018-09-02
0.248838206859897,17.99513422792091,28.44596507439297,0.49800836501544105,0.31532834183984354,43.73152950150612,49.40651463429597,45.16902038209788,2.0,-6.4356659292083656,0.05905769370332475,0.27219586981080646,-0.018357234325199524,-0.011674742855492753,grass,Kiambu,Humid,2,9,ond,3,2018-09-09
