SoilMoist,Rainfall,LST,NDVI,SAVI,VCI,TCI,VHI,LC_Code,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,LC,County,Month,Season,Season_Code,Date
0.17401102616263983,32.90617927596888,29.847317046039652,0.44187805909098415,0.2738382786149904,29.05158372568639,46.934726006645484,36.065900610665345,2.0,1.5970435502399791,-0.024237959355612567,-0.18735115127791957,-0.07182609457464809,-0.056342641732884315,grass,Elgeyo-Marakwet,1,jf,0,2004-01-04
0.17478481263153622,34.42469619368946,29.286655072113774,0.4583161267602862,0.28334211500312984,29.860966697559906,47.979424574294455,36.79600936986049,2.0,0.8791638322274302,-0.01917185565800612,-0.2656449447369722,-0.06713022710069351,-0.05380685642732219,grass,Elgeyo-Marakwet,1,jf,0,2004-01-11
0.17544655337107865,34.180266066391454,28.950273579637482,0.4770895078998092,0.2945722588910225,30.831555298226064,50.03845134394239,37.28880397157764,2.0,-0.9245938112017655,-0.013348691769509135,-0.11334089012732473,-0.061080152959538246,-0.049905831447994674,grass,Elgeyo-Marakwet,1,jf,0,2004-01-18
0.17562324628065518,33.2136122793845,28.776987193972143,0.49605544576207256,0.305959195148575,31.635398752364846,52.80559701991198,37.49091162809957,2.0,-2.9256492540987,-0.0074551521262424675,0.22463954385927978,-0.055023578250547246,-0.045696555850989286,grass,Elgeyo-Marakwet,1,jf,0,2004-01-25
0.17482321738492138,32.70799036404687,28.57839810035463,0.5141103962224027,0.3166340371314927,32.27865993176518,55.58622349826465,37.677057144341624,2.0,-4.052653430522443,-0.002389564397332416,0.6116132388959871,-0.04936923650803898,-0.041684660474621806,grass,Elgeyo-Marakwet,2,jf,0,2004-02-01
0.17280547663673496,32.998651852217016,28.202892100799158,0.5313141649419454,0.3266050687372708,33.000130729805456,57.76341601493445,38.149389039053695,2.0,-3.975057836581039,0.001152565484344834,0.9270544219084931,-0.04355130533484469,-0.03767132585805007,grass,Elgeyo-Marakwet,2,jf,0,2004-02-08
0.16974452443059077,33.45395647232555,27.63432364205359,0.5483159782034251,0.3363665153124598,33.996312593899326,59.288649550610444,38.859576213718825,2.0,-3.272101750381411,0.0029179546917137145,1.1303399409107755,-0.03653946302390697,-0.033016456179953586,grass,Elgeyo-Marakwet,2,jf,0,2004-02-15
0.16602235481943914,33.165551144952126,27.017664473335035,0.5652851110706792,0.34633960235287525,35.234013999183674,60.71873270809977,39.43899691895751,2.0,-2.8686815933809675,0.0029931544494815124,1.2873997768653374,-0.02777682931833061,-0.027102639537772356,grass,Elgeyo-Marakwet,2,jf,0,2004-02-22
0.16206171713682105,31.609454243193728,26.557397395046724,0.5809973357946724,0.35626399432530526,36.476772577248106,62.594512755820354,39.55036500958658,2.0,-3.382592244093098,0.0016577376775279914,1.489436486110736,-0.018132117908760417,-0.019993130833328286,grass,Elgeyo-Marakwet,2,jf,0,2004-02-29
0.15847440231361573,28.933376257373457,26.37184507979776,0.5930865516519703,0.3647391489058729,37.36593887210872,64.95542462114848,39.07957805796472,2.0,-4.841234500504104,-0.0005001383576779863,1.7967290221710648,-0.009796703863163702,-0.012977488101089653,grass,Elgeyo-Marakwet,3,mam,1,2004-03-07
0.15609752013407097,25.777544164569065,26.458315583363518,0.5989491217271486,0.3698920766232179,37.597233871758874,67.30546865691007,38.14999888581938,2.0,-6.811966715430426,-0.002699739366315695,2.217275141485029,-0.005473343966377085,-0.007967031422185404,grass,Elgeyo-Marakwet,3,mam,1,2004-03-14
0.1555357213618037,23.03326202893835,26.64996868006565,0.5974876546351805,0.37046826352226137,37.06797666476318,68.96738655229125,36.9950102488395,2.0,-8.629563938511675,-0.00446366838243141,2.645319731217466,-0.006596970829530808,-0.006402658766921576,grass,Elgeyo-Marakwet,3,mam,1,2004-03-21
0.15705650781204405,21.62913942795224,26.739958147290267,0.5901165217529892,0.3666395785941558,35.969660440637476,69.34842319590271,35.87514697859686,2.0,-9.64437541075288,-0.005780951372712649,2.9383517729796793,-0.012566222224344758,-0.008568993821455801,grass,Elgeyo-Marakwet,3,mam,1,2004-03-28
