SoilMoist,Rainfall,LST,NDVI,SAVI,VCI,TCI,VHI,LC_Code,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,LC,County,EZ,EZ_Code,Month,Season,Season_Code,Date
0.2164291735605971,0.9753588042274077,26.990969550026076,0.4828294539781591,0.2928234065692947,24.282057675641962,61.38734626546022,26.219896621408623,0.0,-2.8676074221004293,-0.01651606121253513,4.26551569299567,0.002087687933256893,0.003390325107263522,forest,Nairobi,Humid,2,9,ond,3,2004-09-05
0.21445315274606533,1.0093320175152214,27.656199714698406,0.47340130556514803,0.28658783038920854,24.3476250433533,62.88827956501951,28.036512771437305,0.0,-2.8238616094388167,-0.016490003899367837,3.7761732710367135,-0.003028478264812451,-0.00017488372568341218,forest,Nairobi,Humid,2,9,ond,3,2004-09-12
0.2127732656660777,1.2570792671582154,28.410986820141332,0.4657029256746544,0.28138879761193897,24.766944587075965,64.06402889702764,30.297821805528486,0.0,-2.659703049836611,-0.016260047116479097,3.1363144816547703,-0.007472114337066488,-0.0036088036302844018,forest,Nairobi,Humid,2,9,ond,3,2004-09-19
0.21164500244883058,1.8409275218051218,29.22945135231909,0.4582309236044364,0.2767741801879675,24.832125002484304,65.05564857025686,31.935687941195482,0.0,-2.2931336821871913,-0.015635834400546226,2.5926571561259713,-0.011312131537080545,-0.006537849992178606,forest,Nairobi,Humid,2,9,ond,3,2004-09-26
0.2112165162499401,2.757425035903937,30.0392752755039,0.4505312594141247,0.2727142947501691,24.402744880341245,65.95095384852208,32.56009161062844,0.0,-1.803163056653145,-0.01465635570847923,2.313662370252968,-0.014376758376084537,-0.008592469170833483,forest,Nairobi,Humid,2,10,ond,3,2004-10-03
0.2115626501604413,3.828447535909222,30.75164106315556,0.4429068227568493,0.2692980183237469,23.70508684914226,66.56376406088907,32.44157174978023,0.0,-1.443264369220196,-0.013528882014793507,2.284061487608833,-0.016886797887327058,-0.009893726741504414,forest,Nairobi,Humid,2,10,ond,3,2004-10-10
0.21286592952593972,4.84535071039091,31.2801478324385,0.4363180832492172,0.2668327167427548,23.08874607725228,66.6238956530614,32.09246255080094,0.0,-1.4706454206961919,-0.01239289011594664,2.3764350671707084,-0.01920117367793371,-0.010800868042095457,forest,Nairobi,Humid,2,10,ond,3,2004-10-17
0.21532906511975247,5.659692050556114,31.584645905519267,0.43266522378734784,0.2661396759457428,23.062271025664,65.99240427285773,32.00411065929659,0.0,-2.045239395228509,-0.011280226297733328,2.4557337546333864,-0.020958343240347104,-0.011275178729879362,forest,Nairobi,Humid,2,10,ond,3,2004-10-24
0.21899315745084094,6.355597249273502,31.654153069063117,0.4338881111701495,0.26810277911027874,24.186350360121775,64.7805357904428,32.49586208210642,0.0,-3.05382658630792,-0.010146028576770725,2.427375794006646,-0.02129606315388592,-0.01096545573556433,forest,Nairobi,Humid,2,10,ond,3,2004-10-31
0.2235511117907557,7.224196043605084,31.5123166845223,0.4403584964293543,0.272907938905308,26.740802646613417,63.04202697282767,33.74218976438339,0.0,-4.125229311144832,-0.009027695955626823,2.258823908938347,-0.02010303476320618,-0.009761250545969482,forest,Nairobi,Humid,2,11,ond,3,2004-11-07
