SoilMoist,Rainfall,LST,NDVI,SAVI,VCI,TCI,VHI,LC_Code,Rainfall_Anom,SoilMoist_Anom,LST_Anom,NDVI_Anom,SAVI_Anom,LC,County,EZ,EZ_Code,Month,Season,Season_Code,Date
0.1439508596186364,32.60416545417643,30.85071600102675,0.5535289014967422,0.33852755334753065,37.60595774321403,42.24172384621567,39.49335957596938,1.0,-3.906408311588903,-0.009499351828695402,2.596148474606333,-0.04222047823949306,-0.026069646620097198,crops,Kirinyaga,Humid,2,3,mam,1,2006-03-26
0.14833539473876894,34.740128255921135,29.86972954747969,0.5751001474280358,0.3498424430508544,40.56047717338446,42.80122167055968,42.23902699014177,1.0,-1.0657388829871344,-0.008814684128752902,2.5356381500920144,-0.03174234191792693,-0.020073861783735672,crops,Kirinyaga,Humid,2,4,mam,1,2006-04-02
0.15379607332422054,35.208869024085494,28.91631309713053,0.5961973820242886,0.3611877472144888,44.133859859627016,43.02683316435692,45.55950511107378,1.0,0.8607944895726316,-0.009074308349886586,2.731642275569374,-0.018693685042069808,-0.012303480037490095,crops,Kirinyaga,Humid,2,4,mam,1,2006-04-09
0.16066472356869202,34.24941818407062,27.981704295974975,0.6155061628774895,0.3719857792557871,48.39040371581987,42.92207866726781,49.61500737875607,1.0,2.1475703338279897,-0.009528945821160954,3.1105699391940775,-0.003961988254982586,-0.0032224083785968305,crops,Kirinyaga,Humid,2,4,mam,1,2006-04-16
0.16889143809633808,32.34764592705148,27.087839591274783,0.6320628475364031,0.381719912435474,53.247169097960004,42.454064338890305,54.34710614536133,1.0,3.24979940795626,-0.009565341061486684,3.5152202524356437,0.011756518913028391,0.006757693295802401,crops,Kirinyaga,Humid,2,4,mam,1,2006-04-23
0.17784894387600933,29.994150004942096,26.27316824025323,0.6450339538765758,0.3898794945193061,58.43599126325782,41.66799918380506,59.4455116409384,1.0,4.532564308519228,-0.009015686772152988,3.7593439812012925,0.027816592776239907,0.017317404793353766,crops,Kirinyaga,Humid,2,4,mam,1,2006-04-30
0.18624662680549808,27.621140681150106,25.53367722911587,0.653688982145955,0.39587730907549096,63.609965280312714,40.975575321701456,64.53571449210206,1.0,6.206493251806644,-0.008416312689740003,3.6853286473740288,0.04361525150524778,0.028126724293295175,crops,Kirinyaga,Humid,2,5,mam,1,2006-05-07
0.1925976764113633,25.228446212887913,24.84477753571798,0.6575459226435934,0.3991662923142911,68.45904931278781,40.87585930643613,69.28527086075691,1.0,7.876637380387716,-0.008732325557019797,3.271743700310403,0.0586389167101386,0.038832999575278325,crops,Kirinyaga,Humid,2,5,mam,1,2006-05-14
0.1959700623007625,22.61826424111962,24.24893540963752,0.6566718000140388,0.39943476655363974,72.76451273540142,41.5926431587296,73.39738225234962,1.0,8.835896784618223,-0.010672343162091447,2.696618440736751,0.07252545537937928,0.04902198979892112,crops,Kirinyaga,Humid,2,5,mam,1,2006-05-21
0.19652937225434344,19.70527190348072,23.829882479472584,0.6514640256549773,0.39661472416504767,76.40124188840849,42.89720589638256,76.66383495889146,1.0,8.603806442938232,-0.014032189850050584,2.2035912084813605,0.0846655382292343,0.05804527378200405,crops,Kirinyaga,Humid,2,5,mam,1,2006-05-28
